Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
0A4,0200,0A4,0000,000,0000,000,0000,0000,004,0100
050,0C00,051,1207,050,0C00,000,00A5,0000,004,0100,050,0C00
051,DE2F,052,1207,051,DE2F,000,00A5,0000,004,0100,051,DE2F
052,0800,053,1207,052,0800,000,00A5,0000,004,0100,052,0800
053,0800,054,1207,053,0800,000,00A5,0000,004,0100,053,0800
054,EEEC,055,1207,054,EEEC,000,00A5,0000,004,0100,054,EEEC
055,7C03,056,1207,055,7C03,000,00A5,0000,004,0100,055,7C03
056,F301,057,1207,056,F301,000,00A5,0000,004,0100,056,F301
057,CE06,058,1207,057,CE06,000,00A5,0000,004,0100,057,CE06
058,F002,059,1207,058,F002,000,00A5,0000,004,0100,058,F002
059,AEE9,05A,1207,059,AEE9,000,00A5,0000,004,0100,059,AEE9
05A,0A00,05B,1207,05A,0A00,000,00A5,0000,004,0100,05A,0A00
05B,AEE4,05C,1207,05B,AEE4,000,00A5,0000,004,0100,05B,AEE4
05C,F009,05D,1207,05C,F009,000,00A5,0000,004,0100,05C,F009
05D,CE00,05E,1207,05D,CE00,000,00A5,0000,004,0100,05D,CE00
05E,8EE1,05F,1207,05E,8EE1,000,00A5,0000,004,0100,05E,8EE1
05F,CEED,060,1207,05F,CEED,000,00A5,0000,004,0100,05F,CEED
060,AEE0,061,1207,060,AEE0,000,00A5,0000,004,0100,060,AEE0
061,7C03,062,1207,061,7C03,000,00A5,0000,004,0100,061,7C03
062,F003,063,1207,062,F003,000,00A5,0000,004,0100,062,F003
063,F204,064,1207,063,F204,000,00A5,0000,004,0100,063,F204
064,AF00,065,1207,064,AF00,000,00A5,0000,004,0100,064,AF00
065,0A00,066,1207,065,0A00,000,00A5,0000,004,0100,065,0A00
066,AEDE,067,1207,066,AEDE,000,00A5,0000,004,0100,066,AEDE
067,0A00,068,1207,067,0A00,000,00A5,0000,004,0100,067,0A00
068,AEDB,069,1207,068,AEDB,000,00A5,0000,004,0100,068,AEDB
069,0A00,06A,1207,069,0A00,000,00A5,0000,004,0100,069,0A00
06A,0000,06B,1207,06A,0000,000,00A5,0000,004,0100,06A,0000
06B,0000,06C,1207,06B,0000,000,00A5,0000,004,0100,06B,0000
06C,0000,06D,1207,06C,0000,000,00A5,0000,004,0100,06C,0000
06D,0000,06E,1207,06D,0000,000,00A5,0000,004,0100,06D,0000
06E,0000,06F,1207,06E,0000,000,00A5,0000,004,0100,06E,0000
06F,0000,070,1207,06F,0000,000,00A5,0000,004,0100,06F,0000
070,0000,071,1207,070,0000,000,00A5,0000,004,0100,070,0000
071,0000,072,1207,071,0000,000,00A5,0000,004,0100,071,0000
072,0000,073,1207,072,0000,000,00A5,0000,004,0100,072,0000
073,0000,074,1207,073,0000,000,00A5,0000,004,0100,073,0000
074,0000,075,1207,074,0000,000,00A5,0000,004,0100,074,0000
075,0000,076,1207,075,0000,000,00A5,0000,004,0100,075,0000
076,0000,077,1207,076,0000,000,00A5,0000,004,0100,076,0000
077,0000,078,1207,077,0000,000,00A5,0000,004,0100,077,0000
078,0000,079,1207,078,0000,000,00A5,0000,004,0100,078,0000
079,0000,07A,1207,079,0000,000,00A5,0000,004,0100,079,0000
07A,0000,07B,1207,07A,0000,000,00A5,0000,004,0100,07A,0000
07B,0000,07C,1207,07B,0000,000,00A5,0000,004,0100,07B,0000
07C,0000,07D,1207,07C,0000,000,00A5,0000,004,0100,07C,0000
07D,0000,07E,1207,07D,0000,000,00A5,0000,004,0100,07D,0000
07E,0000,07F,1207,07E,0000,000,00A5,0000,004,0100,07E,0000
07F,0000,080,1207,07F,0000,000,00A5,0000,004,0100,07F,0000
080,0000,081,1207,080,0000,000,00A5,0000,004,0100,080,0000
081,AF08,082,1207,081,AF08,000,00A5,0000,004,0100,081,AF08
082,EEFD,083,1207,082,EEFD,000,00A5,0000,004,0100,082,EEFD
083,AF00,084,1207,083,AF00,000,00A5,0000,004,0100,083,AF00
084,0C00,085,1207,084,0C00,000,00A5,0000,004,0100,084,0C00
085,AC02,086,1207,085,AC02,000,00A5,0000,004,0100,085,AC02
086,0680,087,1207,086,0680,000,00A5,0000,004,0100,086,0680
