Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
411,CEF9,40B,CEF9,411,040B,000,FFF9,0680,000,0000
40B,AAF6,40C,AAF6,41A,1300,000,FFF6,1300,000,0000,402,041B
40C,F303,410,F303,40C,F303,000,0003,1300,000,0000
410,8403,411,8403,403,000C,000,000B,1300,000,0000,403,000C
411,CEF9,40B,CEF9,411,040B,000,FFF9,1300,000,0000
40B,AAF6,40C,AAF6,41B,F700,000,FFF6,F700,008,1000,402,041C
40C,F303,40D,F303,40C,F303,000,040C,F700,008,1000
40D,AEF6,40E,AEF6,404,0000,000,FFF6,0000,004,0100
40E,0700,40F,0700,40E,0700,000,040E,0001,000,0000
40F,EEF4,410,EEF4,404,0001,000,FFF4,0001,000,0000,404,0001
410,8403,411,8403,403,000B,000,000A,0001,000,0000,403,000B
411,CEF9,40B,CEF9,411,040B,000,FFF9,0001,000,0000
40B,AAF6,40C,AAF6,41C,0599,000,FFF6,0599,000,0000,402,041D
40C,F303,410,F303,40C,F303,000,0003,0599,000,0000
410,8403,411,8403,403,000A,000,0009,0599,000,0000,403,000A
411,CEF9,40B,CEF9,411,040B,000,FFF9,0599,000,0000
40B,AAF6,40C,AAF6,41D,0780,000,FFF6,0780,000,0000,402,041E
40C,F303,410,F303,40C,F303,000,0003,0780,000,0000
410,8403,411,8403,403,0009,000,0008,0780,000,0000,403,0009
411,CEF9,40B,CEF9,411,040B,000,FFF9,0780,000,0000
40B,AAF6,40C,AAF6,41E,0300,000,FFF6,0300,000,0000,402,041F
40C,F303,410,F303,40C,F303,000,0003,0300,000,0000
410,8403,411,8403,403,0008,000,0007,0300,000,0000,403,0008
411,CEF9,40B,CEF9,411,040B,000,FFF9,0300,000,0000
40B,AAF6,40C,AAF6,41F,03B4,000,FFF6,03B4,000,0000,402,0420
40C,F303,410,F303,40C,F303,000,0003,03B4,000,0000
410,8403,411,8403,403,0007,000,0006,03B4,000,0000,403,0007
411,CEF9,40B,CEF9,411,040B,000,FFF9,03B4,000,0000
40B,AAF6,40C,AAF6,420,0380,000,FFF6,0380,000,0000,402,0421
40C,F303,410,F303,40C,F303,000,0003,0380,000,0000
410,8403,411,8403,403,0006,000,0005,0380,000,0000,403,0006
411,CEF9,40B,CEF9,411,040B,000,FFF9,0380,000,0000
40B,AAF6,40C,AAF6,421,021A,000,FFF6,021A,000,0000,402,0422
40C,F303,410,F303,40C,F303,000,0003,021A,000,0000
410,8403,411,8403,403,0005,000,0004,021A,000,0000,403,0005
411,CEF9,40B,CEF9,411,040B,000,FFF9,021A,000,0000
40B,AAF6,40C,AAF6,422,C40D,000,FFF6,C40D,008,1000,402,0423
40C,F303,40D,F303,40C,F303,000,040C,C40D,008,1000
40D,AEF6,40E,AEF6,404,0001,000,FFF6,0001,000,0000
40E,0700,40F,0700,40E,0700,000,040E,0002,000,0000
40F,EEF4,410,EEF4,404,0002,000,FFF4,0002,000,0000,404,0002
410,8403,411,8403,403,0004,000,0003,0002,000,0000,403,0004
411,CEF9,40B,CEF9,411,040B,000,FFF9,0002,000,0000
40B,AAF6,40C,AAF6,423,0636,000,FFF6,0636,000,0000,402,0424
40C,F303,410,F303,40C,F303,000,0003,0636,000,0000
410,8403,411,8403,403,0003,000,0002,0636,000,0000,403,0003
411,CEF9,40B,CEF9,411,040B,000,FFF9,0636,000,0000
40B,AAF6,40C,AAF6,424,2412,000,FFF6,2412,000,0000,402,0425
40C,F303,410,F303,40C,F303,000,0003,2412,000,0000
410,8403,411,8403,403,0002,000,0001,2412,000,0000,403,0002
411,CEF9,40B,CEF9,411,040B,000,FFF9,2412,000,0000
40B,AAF6,40C,AAF6,425,0198,000,FFF6,0198,000,0000,402,0426
40C,F303,410,F303,40C,F303,000,0003,0198,000,0000
410,8403,411,8403,403,0001,000,0000,0198,000,0000,403,0001
411,CEF9,40B,CEF9,411,040B,000,FFF9,0198,000,0000
40B,AAF6,40C,AAF6,426,0380,000,FFF6,0380,000,0000,402,0427
40C,F303,410,F303,40C,F303,000,0003,0380,000,0000
410,8403,412,8403,403,0000,000,FFFF,0380,000,0000,403,0000
412,0100,413,0100,412,0100,000,0412,0380,000,0000
413,0001,405,0100,412,0100,000,0412,0380,000,0000
405,0200,406,0100,405,0200,000,0412,0380,000,0000
