Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
05A,4C01,05B,4C01,7FC,000E,7FB,0001,0206,000,0000
05B,8EF5,05C,8EF5,051,0006,7FB,0005,0206,000,0000,051,0006
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,0206,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,0214,000,0000
05B,8EF5,05C,8EF5,051,0005,7FB,0004,0214,000,0000,051,0005
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,0214,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,0222,000,0000
05B,8EF5,05C,8EF5,051,0004,7FB,0003,0222,000,0000,051,0004
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,0222,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,0230,000,0000
05B,8EF5,05C,8EF5,051,0003,7FB,0002,0230,000,0000,051,0003
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,0230,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,023E,000,0000
05B,8EF5,05C,8EF5,051,0002,7FB,0001,023E,000,0000,051,0002
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,023E,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,024C,000,0000
05B,8EF5,05C,8EF5,051,0001,7FB,0000,024C,000,0000,051,0001
05C,CEFD,05A,CEFD,05C,005A,7FB,FFFD,024C,000,0000
05A,4C01,05B,4C01,7FC,000E,7FB,0001,025A,000,0000
05B,8EF5,05D,8EF5,051,0000,7FB,FFFF,025A,000,0000,051,0000
05D,0C00,05E,0C00,7FA,025A,7FA,005D,025A,000,0000,7FA,025A
05E,8EF1,060,8EF1,050,0000,7FA,FFFF,025A,000,0000,050,0000
060,0800,061,0800,7FA,025A,7FB,0060,025A,000,0000
061,0A00,037,0A00,7FB,0037,7FC,0061,025A,000,0000
037,7C02,038,7C02,7FE,001B,7FC,0002,025A,001,0001
038,F108,041,F108,038,F108,7FC,0008,025A,001,0001
041,AF01,042,AF01,041,0001,7FC,0001,0001,001,0001
042,EEED,043,EEED,030,0001,7FC,FFED,0001,001,0001,030,0001
043,0800,044,0800,7FC,000E,7FD,0043,000E,001,0001
044,0A00,019,0A00,7FD,0019,7FE,0044,000E,001,0001
019,EEF8,01A,EEF8,012,000E,7FE,FFF8,000E,001,0001,012,000E
01A,0100,01B,0100,01A,0100,7FE,001A,000E,001,0001
